location,size,total_sqft,bath,price,bhk
Kengeri,3 BHK,1540.0,2.0,64.0,3
Thanisandra,3 BHK,1427.0,3.0,120.0,3
Akshaya Nagar,3 BHK,2061.0,3.0,200.0,3
Hebbal,4 BHK,5611.5,4.0,477.0,4
Devanahalli,3 BHK,1282.0,2.0,68.52,3
LB Shastri Nagar,3 BHK,1600.0,3.0,65.0,3
Hormavu,2 BHK,1500.0,2.0,78.0,2
Peenya,3 BHK,1870.0,3.0,110.0,3
Sarjapur,3 Bedroom,1600.0,3.0,75.0,3
Electronic City,2 BHK,880.0,1.0,16.5,2
Kudlu Gate,3 BHK,1535.0,3.0,83.0,3
Kanakpura Road,2 BHK,950.0,2.0,57.0,2
Devanahalli,2 BHK,1360.0,2.0,65.0,2
8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2
Chandra Layout,3 BHK,1260.0,2.0,85.05,3
Yelahanka,5 BHK,3050.0,5.0,213.0,5
Kasavanhalli,3 BHK,1563.05,3.0,105.0,3
Anandapura,2 BHK,1167.0,2.0,43.76,2
Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2
Basavanapura,3 BHK,1612.0,3.0,46.74,3
Mysore Road,3 BHK,1710.0,4.0,91.31,3
Kannamangala,2 BHK,957.0,2.0,58.0,2
Hulimavu,2 BHK,1125.0,2.0,50.0,2
Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2
Thanisandra,3 BHK,1735.0,3.0,135.0,3
Thanisandra,3 BHK,2050.0,3.0,145.0,3
Hosa Road,2 BHK,1063.0,2.0,32.0,2
Keshava Nagar,3 BHK,1904.0,3.0,150.0,3
RMV Extension,3 BHK,2000.0,3.0,175.0,3
Sarjapur,2 BHK,1242.5,2.0,43.49,2
Tejaswini Nagar,3 BHK,1425.0,2.0,75.0,3
Electronic City,3 BHK,1500.0,2.0,64.5,3
Electronic City,2 BHK,1060.0,2.0,60.0,2
Jai Bheema Nagar,3 BHK,1470.0,2.0,70.0,3
Attibele,1 BHK,450.0,1.0,11.0,1
Electronic City,2 BHK,1152.0,2.0,64.5,2
Electronic City,3 BHK,1350.0,2.0,56.0,3
CV Raman Nagar,3 BHK,1550.0,3.0,65.0,3
Malleshwaram,1 BHK,705.0,1.0,67.0,1
Electronic City,2 BHK,770.0,1.0,36.0,2
Hulimavu,2 BHK,1242.0,2.0,51.0,2
Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,3
Thanisandra,3 BHK,2144.0,3.0,145.0,3
Vijayanagar,3 BHK,1704.0,3.0,110.0,3
Electronic City,2 BHK,1070.0,2.0,52.0,2
Electronic City,2 BHK,1025.0,2.0,46.0,2
KR Puram,2 BHK,1277.5,2.0,56.8,2
Marathahalli,2 BHK,1200.0,2.0,52.0,2
Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3
Marathahalli,2 BHK,1200.0,2.0,60.0,2
Yelahanka,2 BHK,1327.0,2.0,98.0,2
HSR Layout,3 BHK,1400.0,3.0,56.0,3
Whitefield,2 BHK,1225.0,2.0,47.6,2
Kadugodi,3 BHK,1260.0,2.0,54.0,3
Yelahanka,3 BHK,1282.0,2.0,48.7,3
Kogilu,3 BHK,1909.0,3.0,88.0,3
Panathur,2 BHK,1359.0,2.0,87.0,2
Kammasandra,3 BHK,1595.0,3.0,65.0,3
Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3
Tala Cauvery Layout,3 BHK,1580.0,3.0,100.0,3
Dasarahalli,2 BHK,1295.0,2.0,65.0,2
Electronic City,1 BHK,589.0,1.0,27.0,1
Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3
Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3
Koramangala,3 BHK,1475.0,2.0,90.0,3
Sarjapur  Road,2 BHK,984.0,2.0,44.28,2
Muthurayya Swamy Layout,3 BHK,2405.0,4.0,260.0,3
7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2
Budigere,2 BHK,1153.0,2.0,56.4,2
Dodda Nekkundi Extension,2 BHK,1148.0,2.0,60.0,2
Mylasandra,2 BHK,1110.0,2.0,55.0,2
Electronic City,2 BHK,1100.0,2.0,42.0,2
Kalyan nagar,2 BHK,1290.0,2.0,110.0,2
Vijayanagar,3 BHK,1933.0,3.0,129.0,3
Chandapura,1 BHK,645.0,1.0,16.45,1
Chandapura,1 BHK,645.0,1.0,16.45,1
Ashwath Nagar,3 BHK,1644.0,3.0,84.0,3
Ncpr Industrial Layout,2 BHK,1285.0,2.0,72.5,2
Electronic City,2 BHK,910.0,2.0,40.0,2
Kothanur,3 BHK,1577.0,3.0,70.0,3
Meenakunte,3 Bedroom,4050.0,3.0,280.0,3
OMBR Layout,3 BHK,2420.0,3.0,185.0,3
Chandapura,2 BHK,800.0,1.0,20.0,2
7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2
Electronic City,2 BHK,1108.0,2.0,63.0,2
Coffee Board Layout,3 BHK,3045.0,3.0,170.0,3
Ambedkar Nagar,4 Bedroom,2900.0,3.0,300.0,4
Vijayanagar,3 BHK,1500.0,3.0,75.5,3
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2
Budigere,2 BHK,1162.0,2.0,59.9,2
Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2
Attibele,4 Bedroom,1600.0,4.0,52.8,4
Hennur Road,3 BHK,1866.0,2.0,61.58,3
Geleyara Balaga Layout,2 BHK,700.0,1.0,26.0,2
Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3
Talaghattapura,3 BHK,1868.0,3.0,131.0,3
Hegde Nagar,3 BHK,2026.0,3.0,132.0,3
Balagere,2 BHK,1210.0,2.0,80.9,2
Meenakunte,4 Bedroom,4111.0,4.0,250.0,4
Kadugodi,3 BHK,1762.0,3.0,91.45,3
Jigani,3 BHK,1252.0,3.0,55.0,3
Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2
7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3
Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3
Old Madras Road,3 BHK,1425.0,2.0,94.0,3
Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2
Silver Springs Layout,2 BHK,1084.0,2.0,50.0,2
Chandapura,2 BHK,1015.0,2.0,25.88,2
Kanakpura Road,2 BHK,1017.0,2.0,51.25,2
Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2
Hebbal,2 BHK,1349.0,2.0,98.2,2
9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2
Jakkur,2 BHK,1417.0,2.0,75.0,2
Maruthi Sevanagar,2 BHK,950.0,2.0,47.0,2
RMV 2nd Stage,4 BHK,2000.0,4.0,120.0,4
Sarjapur  Road,4 BHK,1863.0,3.0,104.0,4
Singasandra,2 BHK,1010.0,2.0,29.5,2
Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3
Vijayanagar,3 BHK,1450.0,3.0,100.0,3
Kothanur,3 BHK,1847.0,3.0,105.0,3
AECS Layout,2 BHK,1100.0,2.0,45.0,2
Kanakpura Road,1 BHK,525.0,1.0,26.0,1
Mallasandra,3 BHK,1665.0,3.0,95.0,3
Begur,4 BHK,1664.0,4.0,65.0,4
JP Nagar,3 BHK,1850.0,3.0,150.0,3
Panathur,2 BHK,1438.0,2.0,100.0,2
Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,115.0,3
Kanakpura Road,3 BHK,1550.0,3.0,67.0,3
Whitefield,2 BHK,1280.0,2.0,75.0,2
Motappa Layout,2 BHK,1113.0,2.0,51.0,2
Hennur Road,2 BHK,1385.0,2.0,83.09,2
Electronic City,2 BHK,1128.0,2.0,65.0,2
Rajaji Nagar,3 BHK,2390.0,3.0,415.0,3
Haralur Road,3 BHK,1464.0,3.0,56.0,3
Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2
Kaggalipura,3 BHK,1150.0,2.0,55.0,3
Basavanna Nagar,3 BHK,1645.0,3.0,95.0,3
6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2
Ulsoor,3 BHK,2135.0,3.0,215.0,3
Whitefield,2 BHK,1173.0,2.0,58.0,2
Uttarahalli,2 BHK,1020.0,2.0,45.0,2
Thigalarapalya,4 BHK,3122.0,6.0,230.0,4
 Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2
Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2
7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3
Bommasandra,3 BHK,1260.0,3.0,49.36,3
Prashanth Nagar,3 BHK,1800.0,3.0,150.0,3
Ardendale,2 BHK,1100.0,2.0,43.25,2
Harlur,2 BHK,1508.0,2.0,77.0,2
Sampigehalli,3 BHK,1592.0,3.0,75.0,3
Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2
Electronic City Phase II,1 BHK,630.0,1.0,28.35,1
Kodihalli,4 BHK,3252.0,5.0,335.0,4
Magadi Road,2 BHK,1116.0,2.0,50.0,2
Narayanapura,2 BHK,1308.0,2.0,89.04,2
Hennur,2 BHK,1075.0,2.0,52.0,2
Chandapura,1 BHK,530.0,1.0,11.66,1
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2
KR Puram,2 BHK,930.0,2.0,39.0,2
Balagere,2 BHK,1380.0,2.0,60.0,2
Hebbal,4 BHK,2483.0,5.0,212.0,4
Kodigehaali,2 BHK,1166.0,2.0,55.0,2
Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2
Gopalapura,3 BHK,2023.71,3.0,275.0,3
Begur Road,2 BHK,1200.0,2.0,46.8,2
Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3
Billekahalli,3 BHK,1935.0,3.0,110.0,3
8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1
Electronic City,3 BHK,1800.0,3.0,95.0,3
Jalahalli,3 BHK,1400.0,3.0,77.0,3
Hegde Nagar,3 BHK,1801.0,3.0,115.0,3
Begur Road,2 BHK,1160.0,2.0,44.0,2
Kanakpura Road,2 BHK,950.0,2.0,40.0,2
Vijayanagar,3 BHK,1826.0,3.0,121.0,3
7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2
Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,45.79,2
Sompura,2 BHK,825.0,2.0,33.0,2
Yeshwanthpur,3 BHK,1693.0,3.0,108.0,3
Electronics City Phase 1,2 BHK,1113.27,2.0,53.0,2
Ashirvad Colony,2 BHK,1460.0,2.0,58.0,2
Doddathoguru,2 BHK,1050.0,2.0,32.0,2
Dodda Nekkundi,2 BHK,1260.0,2.0,55.0,2
Hosur Road,2 BHK,1656.0,2.0,120.0,2
Chandapura,3 BHK,1208.0,3.0,45.0,3
Whitefield,3 BHK,1910.0,3.0,161.0,3
Whitefield,4 BHK,3252.0,4.0,230.0,4
7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2
Rajaji Nagar,3 BHK,2390.0,3.0,410.0,3
Kengeri,2 BHK,750.0,2.0,38.0,2
Kanakpura Road,3 BHK,1550.0,3.0,64.5,3
Amco Colony,3 BHK,1760.0,3.0,88.0,3
Billekahalli,2 BHK,1125.0,2.0,62.0,2
Budigere,3 BHK,1991.0,4.0,103.0,3
Bommasandra,2 BHK,1060.0,2.0,26.5,2
Ambalipura,2 BHK,1105.0,2.0,75.0,2
Hoodi,2 BHK,985.0,2.0,67.0,2
Balagere,3 BHK,1590.0,3.0,79.0,3
CV Raman Nagar,2 BHK,1120.0,2.0,55.0,2
Samethanahalli,2 BHK,1069.0,2.0,55.0,2
Marathahalli,3 BHK,1933.0,3.0,140.0,3
Hosur Road,2 BHK,1194.0,2.0,69.0,2
Brookefield,2 BHK,1150.0,2.0,69.0,2
Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,48.1,2
Suddaguntepalya,3 BHK,1450.0,3.0,55.0,3
Udayapur Village,3 BHK,1630.0,3.0,68.29,3
Dasanapura,2 BHK,708.0,1.0,40.0,2
Bellandur,2 BHK,1250.0,2.0,76.0,2
7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3
Ardendale,3 BHK,1750.0,3.0,100.0,3
Vittasandra,2 BHK,1404.0,2.0,71.0,2
Hoodi,3 BHK,1715.0,2.0,95.0,3
Electronic City,1 BHK,630.0,1.0,34.65,1
Harlur,3 BHK,1752.12,3.0,135.0,3
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,55.47,2
Giri Nagar,3 Bedroom,1800.0,3.0,252.0,3
Sarjapur  Road,2 BHK,1346.0,2.0,74.03,2
Hormavu,2 BHK,1150.0,2.0,55.0,2
Chikkabidarakallu,4 Bedroom,3309.0,4.0,325.0,4
Chandapura,3 BHK,1190.0,2.0,30.35,3
AECS Layout,3 BHK,1620.0,3.0,98.0,3
1 Giri Nagar,11 BHK,5000.0,9.0,360.0,11
Harlur,3 BHK,2450.0,3.0,120.0,3
Electronic City Phase II,3 BHK,1220.0,2.0,35.23,3
Hoysalanagar,2 BHK,850.0,2.0,30.0,2
Defence Colony,2 BHK,1150.0,2.0,126.0,2
Hebbal,3 BHK,1760.0,2.0,130.0,3
Amruthahalli,2 BHK,900.0,2.0,40.0,2
Whitefield,2 BHK,1130.0,2.0,42.16,2
Koramangala,2 BHK,1320.0,2.0,165.0,2
Patelappa Layout,2 BHK,1200.0,2.0,62.0,2
Subramanyapura,2 BHK,929.0,2.0,50.17,2
Hebbal Kempapura,2 BHK,1130.0,2.0,60.0,2
Surabhi Layout,3 BHK,1753.0,3.0,120.0,3
Old Madras Road,5 BHK,4500.0,7.0,337.0,5
Hoodi,2 BHK,1196.0,2.0,94.42,2
5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2
Electronic City,2 BHK,1128.0,2.0,63.0,2
Omkar Nagar,2 BHK,1000.0,2.0,53.0,2
Yelahanka,2 BHK,1035.0,2.0,45.0,2
Bisuvanahalli,3 BHK,1075.0,2.0,36.0,3
Whitefield,2 BHK,1040.0,2.0,48.5,2
Lingadheeranahalli,3 BHK,1511.0,3.0,95.0,3
Hoodi,3 BHK,1545.0,3.0,68.75,3
JP Nagar,2 BHK,1000.0,2.0,35.0,2
Kambipura,2 BHK,883.0,2.0,45.0,2
Sarjapur  Road,2 BHK,1195.0,2.0,70.0,2
Vittasandra,2 BHK,1246.0,2.0,67.0,2
Haralur Road,4 BHK,2805.0,5.0,154.0,4
VHBCS Layout,2 BHK,1353.0,2.0,110.0,2
Electronic City,3 BHK,1599.0,3.0,125.0,3
Whitefield,2 BHK,1150.0,2.0,70.0,2
Jakkur,4 BHK,5230.0,6.0,465.0,4
KR Puram,2 BHK,1155.0,2.0,42.74,2
Rajiv Nagar,3 BHK,1867.0,3.0,160.0,3
Ramagondanahalli,2 BHK,1251.0,2.0,47.0,2
Gattahalli,2 BHK,1028.0,2.0,45.5,2
Arekere,2 BHK,1222.0,2.0,45.0,2
Bannerghatta Road,3 BHK,1170.0,2.0,66.0,3
Hebbal,3 BHK,2400.0,4.0,245.0,3
HSR Layout,2 BHK,1372.0,2.0,68.0,2
Magadi Road,3 BHK,1282.0,2.0,49.0,3
Mico Layout,9 BHK,5000.0,9.0,210.0,9
Kanakpura Road,2 BHK,1135.0,2.0,39.73,2
Byatarayanapura,3 BHK,1325.0,2.0,90.0,3
Electronic City,3 BHK,1599.0,3.0,99.0,3
Hennur Road,2 BHK,1317.5,2.0,63.77,2
Hebbal,3 BHK,3450.0,5.0,260.0,3
Munnekollal,2 BHK,1102.0,2.0,53.67,2
Yelahanka,2 BHK,1350.0,2.0,54.0,2
Kanakpura Road,1 BHK,525.0,1.0,27.25,1
Attibele,2 BHK,656.0,2.0,25.0,2
3rd Block Hrbr Layout,2 BHK,1056.0,2.0,80.0,2
Bannerghatta Road,1 BHK,595.0,1.0,33.32,1
7th Phase JP Nagar,3 BHK,2225.0,3.0,160.0,3
Bommasandra,2 BHK,1126.0,2.0,28.15,2
Electronics City Phase 1,3 BHK,1490.0,3.0,84.0,3
Sarjapur  Road,3 BHK,1550.0,3.0,100.0,3
Whitefield,4 Bedroom,4144.0,4.0,315.0,4
Sarjapur  Road,3 BHK,2100.0,3.0,125.0,3
Vittasandra,2 BHK,1404.0,2.0,69.3,2
Sarjapur  Road,4 Bedroom,2230.0,4.0,225.0,4
Banashankari Stage III,3 BHK,1305.0,2.0,58.7,3
Marathahalli,2 BHK,1230.0,2.0,80.0,2
Hormavu,1 BHK,715.0,1.0,46.0,1
Whitefield,3 BHK,2500.0,3.0,313.0,3
Dooravani Nagar,3 BHK,1578.0,3.0,180.0,3
Jigani,2 BHK,1020.0,2.0,40.0,2
Koramangala,2 BHK,1253.0,2.0,102.0,2
JCR Layout,2 BHK,1180.0,2.0,42.0,2
Nehru Nagar,2 BHK,961.0,2.0,38.0,2
Harlur,3 BHK,1709.0,3.0,150.0,3
Sneha Colony,2 BHK,1260.0,2.0,45.0,2
RMV Extension,3 BHK,1630.0,3.0,85.0,3
Sarjapur  Road,3 BHK,1249.0,3.0,44.71,3
Kalena Agrahara,3 BHK,1450.0,2.0,85.0,3
Konanakunte,3 BHK,2791.0,3.0,223.0,3
Ashwini layout,1 BHK,834.0,1.0,60.0,1
Gottigere,2 BHK,891.0,2.0,25.0,2
Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,49.07,2
Bisuvanahalli,3 BHK,1075.0,2.0,37.0,3
Raja Rajeshwari Nagar,2 BHK,1090.0,2.0,42.0,2
Hebbal,3 BHK,1920.0,3.0,134.0,3
HRBR Layout,2 BHK,1374.0,2.0,95.0,2
Kanakapura,1 BHK,711.0,1.0,36.0,1
Tumkur Road,3 BHK,1500.0,3.0,95.0,3
Whitefield,3 BHK,1720.0,3.0,100.0,3
Mysore Road,2 BHK,1200.0,2.0,85.0,2
Hosahalli,3 BHK,1375.0,3.0,70.0,3
Jalahalli,3 BHK,2250.0,3.0,160.0,3
Bellandur,2 BHK,1000.0,2.0,50.0,2
Jalahalli West,1 BHK,469.0,1.0,25.0,1
Marathahalli,4 BHK,3800.0,4.0,250.0,4
Kambipura,2 BHK,883.0,2.0,29.0,2
GM Palaya,3 BHK,1820.0,2.0,86.0,3
Malleshwaram,4 BHK,2500.0,5.0,325.0,4
Jalahalli East,1 BHK,750.0,1.0,40.0,1
Hosakerehalli,3 BHK,2378.0,3.0,262.0,3
Sarjapur,2 BHK,1128.0,2.0,60.0,2
Hebbal,3 BHK,1500.0,3.0,150.0,3
Kanakpura Road,3 BHK,1100.0,2.0,58.0,3
Bommasandra,3 BHK,1200.0,3.0,46.0,3
Nagondanahalli,3 BHK,1641.0,3.0,66.0,3
Raja Rajeshwari Nagar,2 BHK,1260.0,2.0,67.39,2
Yelahanka,2 BHK,1132.5,2.0,48.13,2
Yelahanka,2 BHK,1210.0,2.0,45.98,2
Bisuvanahalli,3 BHK,1075.0,2.0,45.0,3
Thanisandra,3 BHK,1702.0,3.0,130.0,3
Shanthala Nagar,2 BHK,1630.0,2.0,200.0,2
Raja Rajeshwari Nagar,2 BHK,1141.0,2.0,38.55,2
Bettahalsoor,4 Bedroom,4046.0,4.0,445.0,4
Yelahanka,3 BHK,35000.0,3.0,130.0,3
Ambedkar Colony,3 BHK,1875.0,3.0,165.0,3
Brookefield,3 Bedroom,1200.0,3.0,140.0,3
Whitefield,2 BHK,1140.0,2.0,56.0,2
Lingadheeranahalli,3 BHK,1683.0,3.0,109.0,3
Hoodi,4 BHK,2118.0,4.0,111.0,4
Avalahalli,3 BHK,2300.0,3.0,120.0,3
Prakruthi Nagar,2 BHK,1240.0,2.0,60.0,2
Surabhi Layout,3 BHK,1750.0,3.0,120.0,3
Abbigere,2 BHK,985.0,2.0,40.39,2
Tindlu,3 Bedroom,1500.0,2.0,87.0,3
Maruthi Sevanagar,2 BHK,950.0,2.0,44.0,2
Electronic City Phase II,2 BHK,1090.0,2.0,28.34,2
Kammasandra,2 BHK,810.0,2.0,24.5,2
Green Garden Layout,2 BHK,1045.0,2.0,45.0,2
Hebbal,2 BHK,1337.0,2.0,82.0,2
Koramangala,3 BHK,1580.0,3.0,160.0,3
Begur Road,3 BHK,1500.0,2.0,54.0,3
Whitefield,3 BHK,1640.0,4.0,91.0,3
Silver Springs Layout,3 BHK,1570.0,3.0,62.0,3
Gubbalala,3 BHK,1470.0,2.0,82.0,3
7th Phase JP Nagar,2 BHK,1050.0,2.0,71.0,2
Dairy Circle,3 BHK,1855.0,3.0,225.0,3
Bannerghatta Road,3 BHK,1460.0,2.0,90.0,3
Electronic City,2 BHK,1094.0,2.0,42.0,2
Budigere,2 BHK,1153.0,2.0,57.0,2
Hoysalanagar,3 BHK,1325.0,3.0,57.0,3
Jakkur,3 BHK,1590.0,2.0,125.0,3
Narayana Nagar 1st Block,2 BHK,1202.0,2.0,48.0,2
KSRTC Layout,2 BHK,1200.0,2.0,62.5,2
Panathur,3 BHK,1688.0,3.0,118.0,3
Kaval Byrasandra,2 BHK,1020.0,2.0,52.0,2
Sarjapur,2 BHK,1185.0,2.0,47.0,2
Ramagondanahalli,2 BHK,1235.0,2.0,52.04,2
Hosakerehalli,4 BHK,3205.0,5.0,500.0,4
Kengeri Satellite Town,3 BHK,1415.0,2.0,66.0,3
EPIP Zone,3 BHK,2330.0,3.0,162.0,3
Whitefield,2 BHK,805.0,2.0,35.0,2
Whitefield,2 BHK,1155.0,2.0,59.95,2
New Gurappana Palya,2 BHK,1100.0,2.0,48.0,2
Ambedkar Colony,2 BHK,1468.0,2.0,140.0,2
Palanahalli,4 Bedroom,4300.0,5.0,550.0,4
Whitefield,3 BHK,2280.0,4.0,126.0,3
Hegde Nagar,2 BHK,1341.0,2.0,97.0,2
Electronic City Phase II,4 BHK,2225.0,4.0,98.88,4
Thanisandra,2 BHK,1185.0,2.0,43.51,2
Vadarpalya,3 BHK,1750.0,3.0,85.0,3
Kudlu,2 BHK,1152.0,2.0,53.5,2
Hulimavu,2 BHK,1300.0,2.0,36.0,2
Uttarahalli,2 BHK,1101.0,2.0,45.0,2
Yeshwanthpur,1 BHK,667.0,1.0,36.85,1
Electronic City,2 BHK,1070.0,2.0,55.0,2
Old Airport Road,3 BHK,1875.0,2.0,110.0,3
Kundalahalli,2 BHK,735.0,2.0,57.99,2
Marathahalli,2 BHK,1215.0,2.0,67.0,2
Vishwapriya Layout,2 BHK,820.0,2.0,30.0,2
Banashankari Stage VI,2 BHK,1177.5,2.0,59.935,2
Battarahalli,3 BHK,1779.0,3.0,89.61,3
HMT Layout,2 BHK,1105.0,2.0,58.0,2
Whitefield,3 BHK,1650.0,3.0,60.0,3
Jalahalli,2 BHK,1694.0,2.0,150.0,2
Hosakerehalli,3 BHK,2376.0,3.0,203.0,3
Kammasandra,2 BHK,674.0,2.0,33.0,2
Kaggadasapura,2 BHK,1185.0,2.0,41.0,2
 Thanisandra,1 RK,445.0,1.0,28.0,1
Gottigere,3 BHK,1618.0,3.0,82.5,3
Koramangala,2 BHK,1120.0,2.0,65.0,2
Marathahalli,4 BHK,2181.0,3.0,152.0,4
Bannerghatta Road,3 BHK,1556.0,2.0,59.13,3
Bannerghatta Road,2 BHK,1179.0,2.0,66.02,2
Thanisandra,2 BHK,1296.0,2.0,83.0,2
Kaggadasapura,2 BHK,1275.0,2.0,52.0,2
Gottigere,2 BHK,1222.0,2.0,63.0,2
Electronic City,2 BHK,940.0,2.0,41.0,2
Thanisandra,2 BHK,1185.0,2.0,42.6,2
Tumkur Road,3 BHK,1779.0,3.0,112.0,3
Begur Road,3 BHK,1615.0,3.0,59.76,3
Haralur Road,2 BHK,1056.0,2.0,61.0,2
Arekere,2 BHK,920.0,2.0,40.0,2
ITI Layout,3 BHK,1602.0,2.0,75.0,3
Kasavanhalli,3 BHK,1717.0,3.0,99.0,3
Bhoganhalli,4 BHK,2119.0,4.0,111.0,4
Vittasandra,2 BHK,1246.0,2.0,67.3,2
Anandapura,2 BHK,1141.0,2.0,42.79,2
Chandapura,2 BHK,1025.0,2.0,27.68,2
Yelahanka New Town,1 BHK,650.0,1.0,33.0,1
Hebbal,2 BHK,1349.0,2.0,98.0,2
